Model,Class,Precision,Recall_Sensitivity,Specificity,F1,Support
DenseNet121,Coccidiosis,0.952191235059761,0.9637096774193549,0.9786096256684492,0.9579158316633266,248
DenseNet121,Healthy,0.8807692307692307,0.950207468879668,0.9454225352112676,0.9141716566866267,241
DenseNet121,Newcastle disease (NCD),0.8571428571428571,0.5263157894736842,0.9933510638297872,0.6521739130434783,57
DenseNet121,Salmonella,0.9277566539923955,0.9277566539923955,0.9652014652014652,0.9277566539923955,263
EfficientNetB0,Coccidiosis,0.9629629629629629,0.9435483870967742,0.983957219251337,0.9531568228105907,248
EfficientNetB0,Healthy,0.9336099585062241,0.9336099585062241,0.971830985915493,0.9336099585062241,241
EfficientNetB0,Newcastle disease (NCD),0.8863636363636364,0.6842105263157895,0.9933510638297872,0.7722772277227723,57
EfficientNetB0,Salmonella,0.9039145907473309,0.9657794676806084,0.9505494505494505,0.9338235294117647,263
MobileNetV2,Coccidiosis,0.9623430962343096,0.9274193548387096,0.983957219251337,0.944558521560575,248
MobileNetV2,Healthy,0.888030888030888,0.9543568464730291,0.948943661971831,0.92,241
MobileNetV2,Newcastle disease (NCD),0.851063829787234,0.7017543859649122,0.9906914893617021,0.7692307692307693,57
MobileNetV2,Salmonella,0.9393939393939394,0.9429657794676806,0.9706959706959707,0.9411764705882353,263
ResNet50,Coccidiosis,0.9598393574297188,0.9637096774193549,0.982174688057041,0.9617706237424547,248
ResNet50,Healthy,0.9338842975206612,0.9377593360995851,0.971830985915493,0.9358178053830227,241
ResNet50,Newcastle disease (NCD),0.9361702127659575,0.7719298245614035,0.9960106382978723,0.8461538461538461,57
ResNet50,Salmonella,0.940959409594096,0.9695817490494296,0.9706959706959707,0.9550561797752809,263
Small_CNN,Coccidiosis,0.9112149532710281,0.7862903225806451,0.966131907308378,0.8441558441558441,248
Small_CNN,Healthy,0.7086614173228346,0.7468879668049793,0.8697183098591549,0.7272727272727273,241
Small_CNN,Newcastle disease (NCD),0.0,0.0,1.0,0.0,57
Small_CNN,Salmonella,0.6304985337243402,0.8174904942965779,0.7692307692307693,0.7119205298013245,263
VGG19,Coccidiosis,0.9465020576131687,0.9274193548387096,0.9768270944741533,0.9368635437881874,248
VGG19,Healthy,0.8853754940711462,0.9294605809128631,0.948943661971831,0.9068825910931174,241
VGG19,Newcastle disease (NCD),0.7857142857142857,0.5789473684210527,0.988031914893617,0.6666666666666666,57
VGG19,Salmonella,0.8929889298892989,0.9201520912547528,0.9468864468864469,0.9063670411985019,263
ViT_Tiny,Coccidiosis,0.9785407725321889,0.9193548387096774,0.9910873440285205,0.9480249480249481,248
ViT_Tiny,Healthy,0.8739837398373984,0.8921161825726142,0.9454225352112676,0.8829568788501027,241
ViT_Tiny,Newcastle disease (NCD),0.6451612903225806,0.7017543859649122,0.9707446808510638,0.6722689075630253,57
ViT_Tiny,Salmonella,0.9104477611940298,0.9277566539923955,0.9560439560439561,0.9190207156308852,263
Xception,Coccidiosis,0.9516129032258065,0.9516129032258065,0.9786096256684492,0.9516129032258065,248
Xception,Healthy,0.8943089430894309,0.9128630705394191,0.954225352112676,0.9034907597535934,241
Xception,Newcastle disease (NCD),0.7560975609756098,0.543859649122807,0.9867021276595744,0.6326530612244898,57
Xception,Salmonella,0.8978102189781022,0.935361216730038,0.9487179487179487,0.9162011173184358,263
