Model,Class,Precision,Recall_Sensitivity,Specificity,F1,Support
DenseNet121,Coccidiosis,0.868421052631579,0.868421052631579,0.9438202247191011,0.868421052631579,38
DenseNet121,Healthy,0.6341463414634146,0.7428571428571429,0.8369565217391305,0.6842105263157895,35
DenseNet121,Newcastle disease (NCD),1.0,0.3157894736842105,1.0,0.48,19
DenseNet121,Salmonella,0.7380952380952381,0.8857142857142857,0.8804347826086957,0.8051948051948052,35
EfficientNetB0,Coccidiosis,0.8717948717948718,0.8947368421052632,0.9438202247191011,0.8831168831168831,38
EfficientNetB0,Healthy,0.8,0.8,0.9239130434782609,0.8,35
EfficientNetB0,Newcastle disease (NCD),1.0,0.5789473684210527,1.0,0.7333333333333333,19
EfficientNetB0,Salmonella,0.7619047619047619,0.9142857142857143,0.8913043478260869,0.8311688311688312,35
MobileNetV2,Coccidiosis,0.9285714285714286,0.6842105263157895,0.9775280898876404,0.7878787878787878,38
MobileNetV2,Healthy,0.6744186046511628,0.8285714285714286,0.8478260869565217,0.7435897435897436,35
MobileNetV2,Newcastle disease (NCD),0.8571428571428571,0.631578947368421,0.9814814814814815,0.7272727272727273,19
MobileNetV2,Salmonella,0.7380952380952381,0.8857142857142857,0.8804347826086957,0.8051948051948052,35
ResNet50,Coccidiosis,0.8947368421052632,0.8947368421052632,0.9550561797752809,0.8947368421052632,38
ResNet50,Healthy,0.9259259259259259,0.7142857142857143,0.9782608695652174,0.8064516129032258,35
ResNet50,Newcastle disease (NCD),0.9333333333333333,0.7368421052631579,0.9907407407407407,0.8235294117647058,19
ResNet50,Salmonella,0.7446808510638298,1.0,0.8695652173913043,0.8536585365853658,35
Small_CNN,Coccidiosis,0.29357798165137616,0.8421052631578947,0.1348314606741573,0.43537414965986393,38
Small_CNN,Healthy,0.0,0.0,1.0,0.0,35
Small_CNN,Newcastle disease (NCD),0.0,0.0,1.0,0.0,19
Small_CNN,Salmonella,0.3333333333333333,0.17142857142857143,0.8695652173913043,0.22641509433962265,35
VGG19,Coccidiosis,0.7111111111111111,0.8421052631578947,0.8539325842696629,0.7710843373493976,38
VGG19,Healthy,0.7741935483870968,0.6857142857142857,0.9239130434782609,0.7272727272727273,35
VGG19,Newcastle disease (NCD),0.6428571428571429,0.47368421052631576,0.9537037037037037,0.5454545454545454,19
VGG19,Salmonella,0.8108108108108109,0.8571428571428571,0.9239130434782609,0.8333333333333334,35
ViT_Tiny,Coccidiosis,0.6363636363636364,0.3684210526315789,0.9101123595505618,0.4666666666666667,38
ViT_Tiny,Healthy,0.4827586206896552,0.4,0.8369565217391305,0.4375,35
ViT_Tiny,Newcastle disease (NCD),0.0,0.0,1.0,0.0,19
ViT_Tiny,Salmonella,0.3684210526315789,0.8,0.4782608695652174,0.5045045045045045,35
Xception,Coccidiosis,0.775,0.8157894736842105,0.898876404494382,0.7948717948717948,38
Xception,Healthy,0.6216216216216216,0.6571428571428571,0.8478260869565217,0.6388888888888888,35
Xception,Newcastle disease (NCD),0.875,0.3684210526315789,0.9907407407407407,0.5185185185185185,19
Xception,Salmonella,0.6666666666666666,0.8,0.8478260869565217,0.7272727272727273,35
